Designator,Mid X,Mid Y,Rotation,Layer
C1,1.75,11.25,90.0,top
C10,12.75,7.25,90.0,top
C11,12.75,5.25,90.0,top
C12,12.75,3.25,90.0,top
C13,1.75,13.25,90.0,top
C14,12.75,13.25,90.0,top
C2,1.75,9.25,90.0,top
C3,1.75,7.25,90.0,top
C4,1.75,5.25,90.0,top
C5,1.75,3.25,90.0,top
C6,1.75,1.25,90.0,top
C7,12.75,1.25,90.0,top
C8,12.75,11.25,90.0,top
C9,12.75,9.25,90.0,top
D1,3.25,13.25,225.0,top
D10,11.25,11.25,225.0,top
D11,3.25,9.25,225.0,top
D12,5.25,9.25,225.0,top
D13,7.25,9.25,225.0,top
D14,9.25,9.25,225.0,top
D15,11.25,9.25,225.0,top
D16,3.25,7.25,225.0,top
D17,5.25,7.25,225.0,top
D18,7.25,7.25,225.0,top
D19,9.25,7.25,225.0,top
D2,5.25,13.25,225.0,top
D20,11.25,7.25,225.0,top
D21,3.25,5.25,225.0,top
D22,5.25,5.25,225.0,top
D23,7.25,5.25,225.0,top
D24,9.25,5.25,225.0,top
D25,11.25,5.25,225.0,top
D26,3.25,3.25,225.0,top
D27,5.25,3.25,225.0,top
D28,7.25,3.25,225.0,top
D29,9.25,3.25,225.0,top
D3,7.25,13.25,225.0,top
D30,11.25,3.25,225.0,top
D31,3.25,1.25,225.0,top
D32,5.25,1.25,225.0,top
D33,7.25,1.25,225.0,top
D34,9.25,1.25,225.0,top
D35,11.25,1.25,225.0,top
D4,9.25,13.25,225.0,top
D5,11.25,13.25,225.0,top
D6,3.25,11.25,225.0,top
D7,5.25,11.25,225.0,top
D8,7.25,11.25,225.0,top
D9,9.25,11.25,225.0,top
J1,5.25,9.75,90.0,bottom
J2,9.75,4.75,270.0,bottom
