Designator,Mid X,Mid Y,Rotation,Layer
C1,201.0,-139.0,180.0,top
C10,162.0,-100.0,90.0,top
C11,167.23,-119.5,120.0,top
C12,181.5,-133.77,150.0,top
C13,79.804048,-106.19,180.0,bottom
C14,87.374048,-113.01,180.0,bottom
C15,63.635,-130.3,180.0,bottom
C2,220.5,-133.77,210.0,top
C3,234.77,-119.5,240.0,top
C4,240.0,-100.0,270.0,top
C5,234.77,-80.5,300.0,top
C6,220.5,-66.23,330.0,top
C7,201.0,-61.0,0.0,top
C8,181.5,-66.23,30.0,top
C9,167.23,-80.5,60.0,top
D1,201.0,-135.0,270.0,top
D10,166.0,-100.0,180.0,top
D11,170.69,-117.5,210.0,top
D12,183.5,-130.31,240.0,top
D13,98.38,-105.46,180.0,bottom
D14,111.28,-101.3,180.0,bottom
D2,218.5,-130.31,300.0,top
D3,231.31,-117.5,330.0,top
D4,236.0,-100.0,0.0,top
D5,231.31,-82.5,30.0,top
D6,218.5,-69.69,60.0,top
D7,201.0,-65.0,90.0,top
D8,183.5,-69.69,120.0,top
D9,170.69,-82.5,150.0,top
H1,99.0,-135.0,180.0,top
H10,64.0,-100.0,90.0,top
H11,68.69,-117.5,120.0,top
H12,81.5,-130.31,150.0,top
H2,116.5,-130.31,210.0,top
H3,129.31,-117.5,240.0,top
H4,134.0,-100.0,270.0,top
H5,129.31,-82.5,300.0,top
H6,116.5,-69.69,330.0,top
H7,99.0,-65.0,0.0,top
H8,81.5,-69.69,30.0,top
H9,68.69,-82.5,60.0,top
J1,204.5,-83.5,180.0,bottom
J2,205.0,-146.335,180.0,top
L1,116.0,-102.5,180.0,bottom
R1,103.945,-103.13,180.0,bottom
R2,99.5,-111.0,180.0,bottom
R3,108.265,-105.15,180.0,bottom
R4,111.715,-103.67,180.0,bottom
R5,107.395,-103.13,180.0,bottom
R6,100.495,-103.13,180.0,bottom
R7,104.815,-105.15,180.0,bottom
R8,96.5,-110.0,180.0,bottom
U1,95.0,-94.8,180.0,bottom
U2,111.1,-110.95,0.0,bottom
