Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C100, C101, C11, C112, C12, C13, C14, C15, C16, C17, C18, C19, C2, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C3, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C4, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C5, C50, C51, C52, C53, C54, C55, C56, C57, C58, C59, C6, C60, C61, C62, C63, C64, C65, C66, C67, C68, C69, C7, C70, C71, C72, C73, C74, C75, C76, C77, C78, C79, C8, C80, C81, C82, C83, C84, C85, C86, C87, C88, C89, C9, C90, C91, C92, C93, C94, C95, C96, C97, C98, C99",C_0402,102,100nF,
C102,C_0603,1,22uF,
C103,CP_EIA-3528-21_Kemet-B,1,220uF Tant,C122649
"C104, C105, C107",C_0603,3,10uF 35V,C194427
C106,C_0402,1,1uF,
C109,C_0603_,1,10uF 35V,C194427
C110,C_0603_,1,10uF 6.3V,C1691
C111,C_0603_,1,100nF,
"D1, D10, D100, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D69, D7, D70, D71, D72, D73, D74, D75, D76, D77, D78, D79, D8, D80, D81, D82, D83, D84, D85, D86, D87, D88, D89, D9, D90, D91, D92, D93, D94, D95, D96, D97, D98, D99",SMD1010,100,XL-1010RGBC-WS2812B,C5349953
J3,USB-C-Socket-H,1,USB-C-Socket-H,C709357
L1,L_4x4_,1,10uH,
R1,R_0402,1,10K,
R4,R_0402_,1,124k,
R5,R_0402_,1,39k2,
R6,R_0402_,1,1M,
"R7, R8",R_0402,2,5K1,
U1,ESP32-S3-MINI-1,1,ESP32-S3-MINI-1,C3013941
U2,SOT-23-6-MD8942,1,MD8942,C2684786
U3,ICS43434_MEMS_Mic,1,ICS43434_MEMS_Mic,C5656610
