Designator,Mid X,Mid Y,Rotation,Layer
C1,86.970563,91.970563,45.0,top
C10,44.131373,64.284864,202.5,top
C100,43.137642,45.361955,227.8125,top
C101,40.361955,48.137642,222.1875,top
C102,37.871699,51.172028,216.5625,top
C103,35.690856,54.43589,210.9375,top
C104,33.840428,57.897796,205.3125,top
C105,32.338237,61.524406,199.6875,top
C106,31.19875,65.280793,194.0625,top
C107,30.43294,69.130781,188.4375,top
C108,30.048182,73.037293,182.8125,top
C109,30.048182,76.962707,177.1875,top
C11,44.131373,85.715136,157.5,top
C110,30.43294,80.869219,171.5625,top
C111,31.19875,84.719207,165.9375,top
C112,32.338237,88.475594,160.3125,top
C113,33.840428,92.102204,154.6875,top
C114,35.690856,95.56411,149.0625,top
C115,37.871699,98.827972,143.4375,top
C116,40.361955,101.862358,137.8125,top
C117,43.137642,104.638045,132.1875,top
C118,46.172028,107.128301,126.5625,top
C119,49.43589,109.309144,120.9375,top
C12,59.284864,100.868627,112.5,top
C120,52.897796,111.159572,115.3125,top
C121,56.524406,112.661763,109.6875,top
C122,60.280793,113.80125,104.0625,top
C123,64.130781,114.56706,98.4375,top
C124,68.037293,114.951818,92.8125,top
C129,66.5,66.5,0.0,top
C13,76.24289,106.385129,78.75,top
C130,77.0,61.5,270.0,top
C131,74.5,61.5,270.0,top
C132,64.5,66.5,0.0,top
C133,87.0,78.0,0.0,top
C134,63.5,83.5,180.0,top
C135,87.0,72.0,0.0,top
C136,78.25,61.5,270.0,top
C137,67.3,59.0,180.0,top
C138,67.3,64.0,180.0,top
C139,68.0,61.5,90.0,top
C14,87.778247,101.607028,56.25,top
C15,96.607028,92.778247,33.75,top
C16,101.385129,81.24289,11.25,top
C17,101.385129,68.75711,348.75,top
C18,96.607028,57.221753,326.25,top
C19,87.778247,48.392972,303.75,top
C2,86.970563,58.029437,315.0,top
C20,76.24289,43.614871,281.25,top
C21,63.75711,43.614871,258.75,top
C22,52.221753,48.392972,236.25,top
C23,43.392972,57.221753,213.75,top
C24,38.614871,68.75711,191.25,top
C25,38.614871,81.24289,168.75,top
C26,43.392972,92.778247,146.25,top
C27,52.221753,101.607028,123.75,top
C28,63.75711,106.385129,101.25,top
C29,73.528617,110.82665,84.375,top
C3,53.029437,58.029437,225.0,top
C30,80.450248,109.449852,73.125,top
C31,86.970283,106.749166,61.875,top
C32,92.838158,102.828376,50.625,top
C33,97.828376,97.838158,39.375,top
C34,101.749166,91.970283,28.125,top
C35,104.449852,85.450248,16.875,top
C36,105.82665,78.528617,5.625,top
C37,105.82665,71.471383,354.375,top
C38,104.449852,64.549752,343.125,top
C39,101.749166,58.029717,331.875,top
C4,53.029437,91.970563,135.0,top
C40,97.828376,52.161842,320.625,top
C41,92.838158,47.171624,309.375,top
C42,86.970283,43.250834,298.125,top
C43,80.450248,40.550148,286.875,top
C44,73.528617,39.17335,275.625,top
C45,66.471383,39.17335,264.375,top
C46,59.549752,40.550148,253.125,top
C47,53.029717,43.250834,241.875,top
C48,47.161842,47.171624,230.625,top
C49,42.171624,52.161842,219.375,top
C5,80.715136,100.868627,67.5,top
C50,38.250834,58.029717,208.125,top
C51,35.550148,64.549752,196.875,top
C52,34.17335,71.471383,185.625,top
C53,34.17335,78.528617,174.375,top
C54,35.550148,85.450248,163.125,top
C55,38.250834,91.970283,151.875,top
C56,42.171624,97.838158,140.625,top
C57,47.161842,102.828376,129.375,top
C58,53.029717,106.749166,118.125,top
C59,59.549752,109.449852,106.875,top
C6,95.868627,85.715136,22.5,top
C60,66.471383,110.82665,95.625,top
C61,71.962707,114.951818,87.1875,top
C62,75.869219,114.56706,81.5625,top
C63,79.719207,113.80125,75.9375,top
C64,83.475594,112.661763,70.3125,top
C65,87.102204,111.159572,64.6875,top
C66,90.56411,109.309144,59.0625,top
C67,93.827972,107.128301,53.4375,top
C68,96.862358,104.638045,47.8125,top
C69,99.638045,101.862358,42.1875,top
C7,95.868627,64.284864,337.5,top
C70,102.128301,98.827972,36.5625,top
C71,104.309144,95.56411,30.9375,top
C72,106.159572,92.102204,25.3125,top
C73,107.661763,88.475594,19.6875,top
C74,108.80125,84.719207,14.0625,top
C75,109.56706,80.869219,8.4375,top
C76,109.951818,76.962707,2.8125,top
C77,109.951818,73.037293,357.1875,top
C78,109.56706,69.130781,351.5625,top
C79,108.80125,65.280793,345.9375,top
C8,80.715136,49.131373,292.5,top
C80,107.661763,61.524406,340.3125,top
C81,106.159572,57.897796,334.6875,top
C82,104.309144,54.43589,329.0625,top
C83,102.128301,51.172028,323.4375,top
C84,99.638045,48.137642,317.8125,top
C85,96.862358,45.361955,312.1875,top
C86,93.827972,42.871699,306.5625,top
C87,90.56411,40.690856,300.9375,top
C88,87.102204,38.840428,295.3125,top
C89,83.475594,37.338237,289.6875,top
C9,59.284864,49.131373,247.5,top
C90,79.719207,36.19875,284.0625,top
C91,75.869219,35.43294,278.4375,top
C92,71.962707,35.048182,272.8125,top
C93,68.037293,35.048182,267.1875,top
C94,64.130781,35.43294,261.5625,top
C95,60.280793,36.19875,255.9375,top
C96,56.524406,37.338237,250.3125,top
C97,52.897796,38.840428,244.6875,top
C98,49.43589,40.690856,239.0625,top
C99,46.172028,42.871699,233.4375,top
D1,70.0,99.0,225.0,top
D10,50.20101,55.20101,0.0,top
D100,44.624269,44.079582,5.625,top
D101,41.715729,46.715729,0.0,top
D102,39.079582,49.624269,354.375,top
D103,36.741216,52.777191,348.75,top
D104,34.723149,56.144131,343.125,top
D105,33.044819,59.692663,337.5,top
D106,31.722387,63.388613,331.875,top
D107,30.768589,67.196387,326.25,top
D108,30.192611,71.079314,320.625,top
D109,30.0,75.0,315.0,top
D11,42.0,75.0,315.0,top
D110,30.192611,78.920686,309.375,top
D111,30.768589,82.803613,303.75,top
D112,31.722387,86.611387,298.125,top
D113,33.044819,90.307337,292.5,top
D114,34.723149,93.855869,286.875,top
D115,36.741216,97.222809,281.25,top
D116,39.079582,100.375731,275.625,top
D117,41.715729,103.284271,270.0,top
D118,44.624269,105.920418,264.375,top
D119,47.777191,108.258784,258.75,top
D12,50.20101,94.79899,270.0,top
D120,51.144131,110.276851,253.125,top
D121,54.692663,111.955181,247.5,top
D122,58.388613,113.277613,241.875,top
D123,62.196387,114.231411,236.25,top
D124,66.079314,114.807389,230.625,top
D13,70.0,107.0,225.0,top
D14,82.24587,104.564145,202.5,top
D15,92.627417,97.627417,180.0,top
D16,99.564145,87.24587,157.5,top
D17,102.0,75.0,135.0,top
D18,99.564145,62.75413,112.5,top
D19,92.627417,52.372583,90.0,top
D2,94.0,75.0,135.0,top
D20,82.24587,45.435855,67.5,top
D21,70.0,43.0,45.0,top
D22,57.75413,45.435855,22.5,top
D23,47.372583,52.372583,0.0,top
D24,40.435855,62.75413,337.5,top
D25,38.0,75.0,315.0,top
D26,40.435855,87.24587,292.5,top
D27,47.372583,97.627417,270.0,top
D28,57.75413,104.564145,247.5,top
D29,70.0,111.0,225.0,top
D3,70.0,51.0,45.0,top
D30,77.023252,110.30827,213.75,top
D31,83.776604,108.259663,202.5,top
D32,90.000528,104.932906,191.25,top
D33,95.455844,100.455844,180.0,top
D34,99.932906,95.000528,168.75,top
D35,103.259663,88.776604,157.5,top
D36,105.30827,82.023252,146.25,top
D37,106.0,75.0,135.0,top
D38,105.30827,67.976748,123.75,top
D39,103.259663,61.223396,112.5,top
D4,46.0,75.0,315.0,top
D40,99.932906,54.999472,101.25,top
D41,95.455844,49.544156,90.0,top
D42,90.000528,45.067094,78.75,top
D43,83.776604,41.740337,67.5,top
D44,77.023252,39.69173,56.25,top
D45,70.0,39.0,45.0,top
D46,62.976748,39.69173,33.75,top
D47,56.223396,41.740337,22.5,top
D48,49.999472,45.067094,11.25,top
D49,44.544156,49.544156,0.0,top
D5,70.0,103.0,225.0,top
D50,40.067094,54.999472,348.75,top
D51,36.740337,61.223396,337.5,top
D52,34.69173,67.976748,326.25,top
D53,34.0,75.0,315.0,top
D54,34.69173,82.023252,303.75,top
D55,36.740337,88.776604,292.5,top
D56,40.067094,95.000528,281.25,top
D57,44.544156,100.455844,270.0,top
D58,49.999472,104.932906,258.75,top
D59,56.223396,108.259663,247.5,top
D6,89.79899,94.79899,180.0,top
D60,62.976748,110.30827,236.25,top
D61,70.0,115.0,225.0,top
D62,73.920686,114.807389,219.375,top
D63,77.803613,114.231411,213.75,top
D64,81.611387,113.277613,208.125,top
D65,85.307337,111.955181,202.5,top
D66,88.855869,110.276851,196.875,top
D67,92.222809,108.258784,191.25,top
D68,95.375731,105.920418,185.625,top
D69,98.284271,103.284271,180.0,top
D7,98.0,75.0,135.0,top
D70,100.920418,100.375731,174.375,top
D71,103.258784,97.222809,168.75,top
D72,105.276851,93.855869,163.125,top
D73,106.955181,90.307337,157.5,top
D74,108.277613,86.611387,151.875,top
D75,109.231411,82.803613,146.25,top
D76,109.807389,78.920686,140.625,top
D77,110.0,75.0,135.0,top
D78,109.807389,71.079314,129.375,top
D79,109.231411,67.196387,123.75,top
D8,89.79899,55.20101,90.0,top
D80,108.277613,63.388613,118.125,top
D81,106.955181,59.692663,112.5,top
D82,105.276851,56.144131,106.875,top
D83,103.258784,52.777191,101.25,top
D84,100.920418,49.624269,95.625,top
D85,98.284271,46.715729,90.0,top
D86,95.375731,44.079582,84.375,top
D87,92.222809,41.741216,78.75,top
D88,88.855869,39.723149,73.125,top
D89,85.307337,38.044819,67.5,top
D9,70.0,47.0,45.0,top
D90,81.611387,36.722387,61.875,top
D91,77.803613,35.768589,56.25,top
D92,73.920686,35.192611,50.625,top
D93,70.0,35.0,45.0,top
D94,66.079314,35.192611,39.375,top
D95,62.196387,35.768589,33.75,top
D96,58.388613,36.722387,28.125,top
D97,54.692663,38.044819,22.5,top
D98,51.144131,39.723149,16.875,top
D99,47.777191,41.741216,11.25,top
J1,70.0,75.0,270.0,bottom
J3,114.74,75.0,90.0,top
L1,70.6,61.5,90.0,top
R1,65.5,83.5,180.0,top
R2,64.1,61.5,90.0,top
R3,64.1,63.300001,90.0,top
R4,64.1,59.7,90.0,top
R5,111.0,69.0,270.0,top
R6,111.0,81.0,270.0,top
U1,70.0,92.5,90.0,top
U2,70.0,75.0,90.0,top
U3,66.0,61.5,90.0,top
