Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C2, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C3, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C4, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C5, C50, C51, C52, C53, C54, C55, C56, C57, C58, C59, C6, C60, C61, C62, C63, C64, C65, C66, C67, C68, C69, C7, C70, C71, C72, C73, C74, C75, C76, C77, C78, C8, C9",C_0603,78,100nF,
C79,0603,1,10nF,
C80,C_0603_,1,100nF,C30926
C81,C_0805_,1,2.2uF,C19110
C82,C_0805_,1,10uF,C17024
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D5, D6, D7, D8, D9",SMD2020,39,WS2812B-2mm,C784564
D40,D_1206_,1,Schottky,C143805
J2,USC16-TR,1,USB-C,C709357
L1,L_4x4_,1,6.8uH,C354575
R1,R_0603,1,10k,
R2,R_0603,1,300R,
R3,R_0603,1,100k 1%,C14675
R4,R_0603,1,30k 1%,C100001
"R5, R6",R_0603,2,5K1,
U2,ESP32-PICO-MINI-02,1,ESP32-PICO-MINI-02,C2980306
U3,SOT-23-Thin-6-Reg,1,LMR16006XDDCR,C87080
