Designator,Mid X,Mid Y,Rotation,Layer
C1,252.05,-184.98,271.0,top
C10,165.89,-112.28,187.0,top
C11,165.01,-98.63,178.0,top
C12,166.33,-85.01,169.0,top
C13,169.82,-71.78,160.0,top
C14,175.38,-59.29,151.0,top
C15,182.88,-47.85,141.0,top
C16,192.12,-37.75,132.0,top
C17,202.85,-29.28,123.0,top
C18,214.81,-22.63,114.0,top
C19,227.67,-17.98,104.0,top
C2,238.39,-184.2,261.0,top
C20,241.12,-15.47,95.0,top
C21,254.79,-15.14,86.0,top
C22,268.35,-17.0,77.0,top
C23,281.42,-21.02,67.0,top
C24,293.68,-27.08,58.0,top
C25,304.81,-35.04,49.0,top
C26,314.53,-44.67,40.0,top
C27,322.57,-55.74,31.0,top
C28,328.73,-67.95,21.0,top
C29,332.85,-80.99,12.0,top
C3,225.04,-181.25,252.0,top
C30,334.82,-94.53,3.0,top
C31,334.6,-108.21,354.0,top
C32,332.19,-121.67,344.0,top
C33,327.65,-134.58,335.0,top
C34,321.1,-146.58,326.0,top
C35,312.7,-157.39,317.0,top
C36,302.69,-166.7,307.0,top
C37,291.3,-174.29,298.0,top
C38,278.85,-179.95,289.0,top
C39,265.65,-183.55,280.0,top
C4,212.33,-176.19,243.0,top
C40,247.95,-184.98,268.0,top
C41,234.35,-183.55,258.0,top
C42,221.15,-179.95,249.0,top
C43,208.7,-174.29,240.0,top
C44,197.31,-166.7,231.0,top
C45,187.3,-157.39,221.0,top
C46,178.9,-146.58,212.0,top
C47,172.35,-134.58,203.0,top
C48,167.81,-121.67,194.0,top
C49,165.4,-108.21,184.0,top
C5,200.59,-169.16,234.0,top
C50,165.18,-94.53,175.0,top
C51,167.15,-80.99,166.0,top
C52,171.27,-67.95,157.0,top
C53,177.43,-55.74,148.0,top
C54,185.47,-44.67,138.0,top
C55,195.19,-35.04,129.0,top
C56,206.32,-27.08,120.0,top
C57,218.58,-21.02,111.0,top
C58,231.65,-17.0,101.0,top
C59,245.21,-15.14,92.0,top
C6,190.14,-160.34,224.0,top
C60,258.88,-15.47,83.0,top
C61,272.33,-17.98,74.0,top
C62,285.19,-22.63,64.0,top
C63,297.15,-29.28,55.0,top
C64,307.88,-37.75,46.0,top
C65,317.12,-47.85,37.0,top
C66,324.62,-59.29,28.0,top
C67,330.18,-71.78,18.0,top
C68,333.67,-85.01,9.0,top
C69,334.99,-98.63,0.0,top
C7,181.23,-149.96,215.0,top
C70,334.11,-112.28,351.0,top
