Designator,Mid X,Mid Y,Rotation,Layer
C1,27.6,38.65,180.0,top
C10,24.05,32.7,90.0,top
C11,29.05,32.7,90.0,top
C12,26.55,32.0,0.0,top
C9,51.0,38.5,180.0,top
D1,24.35,26.35,315.0,top
D3,30.45,27.0,270.0,top
J1,22.3075,33.0,90.0,bottom
J2,19.25,33.0,270.0,top
J4,39.75,30.1,180.0,bottom
J5,50.84,33.0,90.0,top
L2,26.55,29.4,0.0,top
R14,28.350001,35.9,0.0,top
R15,24.75,35.9,0.0,top
R2,53.0,38.5,180.0,top
R4,26.55,35.9,0.0,top
R5,49.0,27.5,0.0,top
R6,49.0,38.5,180.0,top
R7,29.55,28.815,270.0,top
U6,39.75,33.0,0.0,top
U7,26.55,34.0,0.0,top
