Designator,Mid X,Mid Y,Rotation,Layer
C1,140.55,-76.0,90.0,top
C2,132.2,-49.1,270.0,top
C3,137.2,-49.1,270.0,top
C4,134.7,-48.4,180.0,top
C5,132.3,-76.0,270.0,top
D2,140.1,-44.9,180.0,top
D3,132.4,-57.3625,90.0,top
FID1,110.0,-32.85,0.0,top
FID2,160.0,-32.85,0.0,top
FID3,160.0,-97.15,0.0,top
FID4,110.0,-97.15,0.0,top
FID5,110.0,-97.15,0.0,bottom
FID6,160.0,-97.15,0.0,bottom
FID7,110.0,-32.85,0.0,bottom
FID8,160.0,-32.85,0.0,bottom
J1,136.4,-60.7,180.0,bottom
J2,136.4,-80.0,0.0,top
L1,134.7,-45.8,180.0,top
R1,141.45,-76.0,90.0,top
R10,132.4,-51.2,90.0,top
R11,139.2,-46.7,270.0,top
R12,141.0,-46.7,270.0,top
R13,137.0,-51.2,270.0,top
R5,134.8,-76.0,90.0,top
R6,137.75,-75.95,270.0,top
R7,132.3,-60.65,270.0,top
R8,140.1,-46.7,270.0,top
R9,134.7,-52.3,180.0,top
U1,136.4,-68.45,90.0,top
U3,134.7,-50.4,180.0,top
U5,136.4,-56.05,0.0,top
