Designator,Mid X,Mid Y,Rotation,Layer
C1,41.5,32.2,180.0,top
C2,39.7,32.2,180.0,top
C3,44.5,33.5,90.0,top
C4,41.0,42.4,0.0,bottom
C6,39.1,37.9,90.0,top
C7,44.1,37.9,270.0,top
C8,41.6,37.2,0.0,top
D1,44.2,30.9,90.0,top
D2,40.0,37.625,270.0,bottom
J2,33.25,35.7,180.0,bottom
L2,41.6,34.6,0.0,top
R1,43.37,32.175337,0.0,top
R10,43.4,41.1,0.0,top
R11,39.8,41.1,0.0,top
R2,37.6,42.3,0.0,bottom
R3,35.8,42.3,0.0,bottom
R9,41.6,41.1,0.0,top
U1,40.3,29.9,0.0,top
U2,30.6,35.7,90.0,top
U5,41.6,39.2,0.0,top
