Designator,Mid X,Mid Y,Rotation,Layer
C1,24.9,40.6,180.0,top
C10,45.3,33.15,180.0,top
C11,48.2,32.0,270.0,top
C12,45.0,34.6,270.0,top
C13,50.2,28.22,90.0,top
C14,46.6375,34.6,270.0,top
C15,42.4,33.8,270.0,top
C16,42.2,37.5,0.0,top
C5,24.4,28.1,0.0,top
C6,41.7,41.6,90.0,top
C7,24.4,41.9,0.0,top
C8,53.68,40.2,180.0,top
C9,48.4,28.1,0.0,top
D1,54.7,41.398959,225.0,top
D2,24.9,37.0,270.0,top
FID1,33.5,25.0,0.0,top
J2,18.5,35.0,0.0,top
J3,51.735,35.0,90.0,top
L1,44.9,40.2,180.0,top
R1,41.7,40.2,90.0,top
R10,47.0,35.6,0.0,top
R2,25.0,33.02,90.0,top
R3,22.0,28.1,180.0,top
R4,20.4,28.3,180.0,top
R5,47.9,29.1,0.0,top
R6,52.0,41.2,90.0,top
R7,51.4,41.2,270.0,top
R8,45.55,34.62,270.0,top
R9,46.1,34.6,90.0,top
U1,33.5,35.0,0.0,top
U2,44.65,29.85,0.0,top
U3,53.7,28.8,0.0,top
U4,45.5375,36.4,180.0,top
