Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_EIA-3528-21_Kemet-B,1,220uF Tant,C122649
C10,C_0603_,1,10uF 35V,C194427
C11,C_0603_,1,10uF 6.3V,C1691
C12,C_0603_,1,100nF,
C2,C_0402,1,100nF,
C3,C_0603,1,22uF,
C4,C_0402,1,4.7uF,C194427
C5,C_0603,1,10uF 35V,C194427
"C7, C8",C_0402,2,10uF,C15525
C9,C_0402,1,1uF,
D1,SMD1615,1,XL-1010RGBC-WS2812B,C5349954
"D2, D3",DFN1006-2L,2,~,C5137770
J2,WAGO-2060-453-998-404,1,LED,C2765056
J5,USB-C-Socket-H,1,USB-C-Socket-H,C709357
J6,WAGO-2060-452-998-404,1,Power,C2765055
L2,L_4x4_,1,10uH,
R1,R_0402,1,124K,
R14,R_0402_,1,39k2,
R15,R_0402_,1,1M,
"R2, R3",R_0402,2,10K,
R4,R_0402_,1,124k,
"R5, R6",R_0402,2,5K1,
R7,R_0402,1,1K,
R9,R_0402,1,100R,
U1,ICS43434_MEMS_Mic_Open,1,ICS43434_MEMS_Mic,C5656610
U3,SO-4_4.4x4.3mm_P2.54mm,1,Relay,C2691608
U5,"SMD-4P,4x5mm",1,IRM-H638T/TR2,C91447
U6,ESP32-S3-MINI-1,1,ESP32-S3-MINI-1,C3013941
U7,SOT-23-6-MD8942,1,MD8942,C2684786
