Designator,Mid X,Mid Y,Rotation,Layer
C1,52.6625,28.7375,0.0,top
C10,43.45,39.215,90.0,top
C11,48.45,39.215,90.0,top
C12,45.95,38.515,0.0,top
C13,51.7,41.25,270.0,top
C14,53.1,41.25,270.0,top
C15,22.4,38.4,180.0,top
C2,46.446745,33.020564,0.0,top
C3,44.2,33.1,180.0,top
C4,41.8,30.5,270.0,top
C5,48.75,33.0,180.0,top
C7,26.35,38.8,270.0,top
C8,45.0,43.4,180.0,top
C9,23.2,39.3,180.0,top
D1,22.0,36.7,45.0,top
D2,21.5,39.3,180.0,top
D3,20.7,38.4,0.0,top
J2,20.05,46.0,0.0,top
J4,50.2,48.0,180.0,top
J5,53.39,35.0,90.0,top
J6,20.05,31.5,0.0,top
L2,45.95,35.915,0.0,top
R1,28.75,30.75,0.0,top
R14,47.750001,42.415,0.0,top
R15,44.15,42.415,0.0,top
R2,25.0,39.3,180.0,top
R3,30.5,30.75,0.0,top
R4,45.95,42.415,0.0,top
R5,55.8,29.1,90.0,top
R6,56.7,29.1,270.0,top
R7,19.3,37.55,0.0,top
R8,54.8,43.0,0.0,top
R9,43.2,29.9,0.0,top
U1,55.715,41.25,0.0,top
U2,51.7,43.0,0.0,top
U3,16.05,37.75,270.0,top
U4,25.0,37.3,0.0,top
U5,46.3,29.9,180.0,top
U6,35.0,39.5,0.0,top
U7,45.95,40.515,0.0,top
U8,37.0,29.6,270.0,top
