Designator,Mid X,Mid Y,Rotation,Layer
C1,45.6,37.4,90.0,top
C10,46.9,37.9,0.0,top
C11,46.9,36.9,0.0,top
C2,44.7,37.4,90.0,top
C3,28.7,41.9,0.0,bottom
C4,40.3,28.0,180.0,bottom
C5,38.0,28.0,0.0,bottom
C6,43.3,32.815,90.0,top
C7,48.3,32.815,270.0,top
C8,45.8,32.115,0.0,top
C9,47.5,40.2,0.0,top
D1,47.5,41.5,180.0,top
D2,28.5,28.0,180.0,bottom
J2,34.0,35.0,0.0,bottom
L2,45.8,29.515,0.0,top
R1,30.5,41.9,0.0,bottom
R10,47.6,36.015,0.0,top
R11,44.0,36.015,0.0,top
R9,45.8,36.015,0.0,top
U1,44.5,40.715,90.0,top
U2,35.0,35.0,90.0,top
U5,45.8,34.115,0.0,top
