Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_0805,1,22uF 25V,C45783
C10,C_0201,1,18pF,C62164
C11,C_0805,1,47uF 6V,C16780
"C12, C16",C_0603,2,10uF 35V,C194427
"C13, C15, C8",C_0201,3,100nF,C76934
C14,C_0201,1,1uF,
"C2, C3",C_0402,2,100nF 25V,C56392
"C6, C7, C9",C_0402,3,22uF,
D1,SMD1010,1,XL-1010RGBC-WS2812B,C5349953
D2,DFN1006-2L,1,~,C5137770
J1,WAGO-2060-453-998-404-O,1,Conn_01x03,C2765056
L1,L_5x5,1,4.7uH,C307876
"R1, R2",R_0201,2,150k 1%,C310173
R3,R_0201,1,33k 1%,C320835
R4,R_0201,1,10K,
U1,SOT-563,1,TPS562246,C41833479
U2,ESP32-S3-MINI-1,1,ESP32-S3-MINI-1,C3013941
U3,ICS43434_MEMS_Mic_Open,1,ICS43434_MEMS_Mic,C5656610
