Designator,Mid X,Mid Y,Rotation,Layer
C1,29.25,28.05,180.0,bottom
C10,45.6,34.6,180.0,top
C11,44.3,35.35,90.0,top
C12,32.4,28.1,180.0,bottom
C13,48.0,37.2,180.0,top
C14,28.3,42.1,0.0,bottom
C15,46.7,37.2,0.0,top
C16,35.05,28.1,0.0,bottom
C2,37.5,28.0,180.0,bottom
C3,45.85,33.3,90.0,top
C6,47.7,38.0,0.0,top
C7,47.7,39.8,0.0,top
C8,47.85,35.15,0.0,top
C9,47.7,38.9,0.0,top
D1,47.5,41.4,270.0,top
D2,28.0,37.0,270.0,bottom
D6,43.2,28.2,0.0,bottom
J1,34.0,35.0,0.0,bottom
L1,45.8,29.85,180.0,top
R1,47.0625,35.4,90.0,top
R2,45.9,35.4,270.0,top
R3,46.5,35.4,90.0,top
R4,29.45,42.1,0.0,bottom
U1,47.0625,33.7125,270.0,top
U2,35.0,35.0,90.0,top
U3,44.5,40.965,90.0,top
