Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_EIA-3528-21_Kemet-B,1,220uF Tant,C122649
C10,C_0603_,1,10uF 35V,C194427
C11,C_0603_,1,10uF 6.3V,C1691
C12,C_0603_,1,100nF,
C2,C_0402,1,100nF,
C3,C_0603,1,22uF,
C4,C_0603,1,100nF,
C9,C_0402,1,1uF,
D1,SMD1010,1,XL-1010RGBC-WS2812B,C5349953
"D2, D3, D4",DFN1006-2L,3,~,C5137770
J1,AA-Pad,1,Reset,
"J2, J4",WAGO-2060-453-998-404,2,Wago,C2765056
J5,USB-C-Socket-H,1,USB-C-Socket-H,C709357
J7,WAGO-2060-452-998-404,1,Wago,C2765055
L2,L_4x4_,1,10uH,
R14,R_0402_,1,39k2,
R15,R_0402_,1,1M,
R2,R_0402,1,10K,
R4,R_0402_,1,124k,
"R5, R6",R_0402,2,5K1,
U6,ESP32-S3-MINI-1,1,ESP32-S3-MINI-1,C3013941
U7,SOT-23-6-MD8942,1,MD8942,C2684786
