Designator,Mid X,Mid Y,Rotation,Layer
BT1,0.0,-30.0,0,top
C1,2.12,49.95,88,top
C10,36.1,34.6,44,top
C11,38.9,31.41,39,top
C12,41.43,28.0,34,top
C13,43.65,24.38,29,top
C14,45.56,20.6,24,top
C15,47.14,16.66,19,top
C16,48.39,12.6,15,top
C17,49.28,8.45,10,top
C18,49.82,4.24,5,top
C19,50.0,0.0,0,top
C2,6.35,49.6,83,top
C20,49.82,-4.24,355,top
C21,49.28,-8.45,350,top
C22,48.39,-12.6,345,top
C23,47.14,-16.66,341,top
C24,45.56,-20.6,336,top
C25,43.65,-24.38,331,top
C26,41.43,-28.0,326,top
C27,38.9,-31.41,321,top
C28,36.1,-34.6,316,top
C29,33.03,-37.53,311,top
C3,10.53,48.88,78,top
C30,29.73,-40.2,306,top
C31,26.22,-42.58,302,top
C32,22.51,-44.65,297,top
C33,18.64,-46.39,292,top
C34,14.64,-47.81,287,top
C35,10.53,-48.88,282,top
C36,6.35,-49.6,277,top
C37,2.12,-49.95,272,top
C38,-2.12,-49.95,268,top
C39,-6.35,-49.6,263,top
C4,14.64,47.81,73,top
C40,-10.53,-48.88,258,top
C41,-14.64,-47.81,253,top
C42,-18.64,-46.39,248,top
C43,-22.51,-44.65,243,top
C44,-26.22,-42.58,238,top
C45,-29.73,-40.2,234,top
C46,-33.03,-37.53,229,top
C47,-36.1,-34.6,224,top
C48,-38.9,-31.41,219,top
C49,-41.43,-28.0,214,top
C5,18.64,46.39,68,top
C50,-43.65,-24.38,209,top
C51,-45.56,-20.6,204,top
C52,-47.14,-16.66,199,top
C53,-48.39,-12.6,195,top
C54,-49.28,-8.45,190,top
C55,-49.82,-4.24,185,top
C56,-50.0,0.0,180,top
C57,-49.82,4.24,175,top
C58,-49.28,8.45,170,top
C59,-48.39,12.6,165,top
C6,22.51,44.65,63,top
C60,-47.14,16.66,161,top
C61,-45.56,20.6,156,top
C62,-43.65,24.38,151,top
C63,-41.43,28.0,146,top
C64,-38.9,31.41,141,top
C65,-36.1,34.6,136,top
C66,-33.03,37.53,131,top
C67,-29.73,40.2,126,top
C68,-26.22,42.58,122,top
C69,-22.51,44.65,117,top
C7,26.22,42.58,58,top
C70,-18.64,46.39,112,top
